Ticker,銘柄名,PBR,PER,ROE
1301.T,極洋,0.822437,8.460164,11.9160004
1333.T,マルハニチロ,0.8385635,8.87325,10.71
1662.T,石油資源開発,0.74290866,4.6296296,15.946001
1788.T,三東工業社,0.8622121,13.003954,10.5500005
1798.T,守谷商会,0.79413116,5.083896,16.906
1848.T,富士ピー・エス,0.78366727,3.517367,24.766001000000003
1850.T,南海辰村建設,0.96644145,8.382148,12.153
1879.T,新日本建設,0.94573474,8.718564,11.326
2112.T,塩水港精糖,0.79983795,5.5925574,15.939
2220.T,亀田製菓,0.8709998,3.0562348,31.796999999999997
2286.T,林兼産業,0.50188327,4.019249,13.274
2418.T,ツカダ・グローバルホールディング,0.76512754,4.1407566,19.542
2429.T,ワールドホールディングス,0.97345626,6.7203817,16.641001
2475.T,ＷＤＢホールディングス,0.97442967,10.427395,10.476
2483.T,翻訳センター,0.93978286,8.748729,11.186
2602.T,日清オイリオグループ,0.819107,7.0671854,12.347999
2780.T,コメ兵ホールディングス,0.9712661,8.984779,10.99
2804.T,ブルドックソース,0.97811764,9.643432,11.016
2813.T,和弘食品,0.8590593,7.325964,12.667
2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,0.8253694,8.576146,10.0710005
2993.T,長栄,0.8433805,5.216424,17.251
3004.T,神栄,0.96732646,5.0968785,21.613
3020.T,アプライド,0.94262993,5.6116366,18.041999999999998
3024.T,クリエイト,0.888298,8.960651,10.3760004
3023.T,ラサ商事,0.8739954,9.041708,10.118
3054.T,ハイパー,0.88749593,9.407895,14.007
3157.T,ジオリーブグループ,0.8034847,7.9619923,10.464
3184.T,ＩＣＤＡホールディングス,0.84678525,7.6805453,11.536
3192.T,白鳩,0.7173936,3.52507,22.612
3277.T,サンセイランディック,0.774673,5.763714,12.1300004
3280.T,エストラスト,0.6320785,2.9256597,23.923999000000002
3294.T,イーグランド,0.9881698,9.25058,11.205
3321.T,ミタチ産業,0.99669343,7.5528264,14.072999999999999
3375.T,ＺＯＡ,0.81800234,7.507542,11.350999999999999
3441.T,山王,0.67243165,6.410331,12.738
3443.T,川田テクノロジーズ,0.8243844,8.210104,10.3360005
3477.T,フォーライフ,0.828866,7.980861,10.775
3494.T,マリオン,0.58694804,6.1382394,10.091999999999999
3526.T,芦森工業,0.99600863,8.968561,13.789000000000001
3538.T,ウイルプラスホールディングス,0.864883,6.5790305,12.814
